id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1350.0,Summer Solstice,Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
1327.0,Hop Ottin' IPA,American Ipa,12.0,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,CA
1326.0,Boont Amber Ale,American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA
,Barney Flats Oatmeal Stout,Oatmeal Stout,11.999051386639742,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA
1217.0,El Steinber Dark Lager,Vienna Lager,16.0,0.055,25.0,171,,Boonville,CA
811.0,Boont Amber Ale (2010),American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA
753.0,Summer Solstice Cerveza Crema (2009),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,,CA
572.0,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,12.0,0.057,13.0,171,Anderson Valley Brewing Company,Boonville,CA
523.0,Winter Solstice,Winter Warmer,12.0,0.069,6.0,171,anderson valley brewing company,Boonville,CA
367.0,Hop Ottin' IPA (2011),American Ipa,12.0,0.07,80.0,171,Anderson Valley Brewing Company,Boonville,
78.0,Boont Amber Ale (2011),American Amber / Red Ale,12.0,0.058,15.0,171,Anderson Valley Brewing Company,Boonville,CA
77.0,Summer Solstice (2011),Cream Ale,12.0,0.056,4.0,171,Anderson Valley Brewing Company,Boonville,CA
76.0,Poleeko Gold Pale Ale (2009),American Pale Ale (Apa),12.0,0.055,28.0,171,Anderson Valley Brewing Company,Boonville,CA
2337.0,Charlie's Rye IPA,American Ipa,16.0,0.06,,146,Angry Minnow,Hayward,WI
410.0,River Pig Pale Ale,,16.0,0.054,,542,Angry Minnow Brewing Company,Hayward,WI
409.0,Oaky's Oatmeal Stout,Oatmeal Stout,16.0,0.047,,542,Angry Minnow Brewing Company,Hayward,WI
1294.0,Angry Orchard Apple Ginger,Cider,16.0,0.05,,434,aNGRY oRCHARD cIDER cOMPANY,Cincinnati,OH
1293.0,,Cider,16.0,0.05,,434,,Cincinnati,OH
1292.0,aNGRY oRCHARD cRISP aPPLE,Cider,12.0,0.05,,434,Angry Orchard Cider Company,Cincinnati,OH
2207.0,gOLDEN oNE,Belgian Pale Ale,12.0,0.068,,193,Anthem Brewing Company,Oklahoma City,OK
2040.0,Arjuna,Witbier,12.0,0.06,,193,Anthem Brewing Company,Oklahoma City,OK
2039.0,Uroboros,American Stout,12.0,0.085,,193,Anthem Brewing Company,Oklahoma City,OK
2511.0,Long Leaf,American Ipa,16.0,0.071,75.0,69,aPPALACHIAN mOUNTAIN bREWERY,Boone,
2510.0,Honey Badger Blonde,American Blonde Ale,16.0,0.047,19.0075149522532,69,Appalachian Mountain Brewery,Boone,NC
2509.0,Porter (a/k/a Black Gold Porter),American Porter,16.0,0.06,23.0,69,aPPALACHIAN mOUNTAIN bREWERY,Boone,NC
413.0,Sky High Rye,American Pale Ale (Apa),11.998171255987582,0.06,55.0,541,Arcadia Brewing Company,Battle Creek,MI
390.0,Whitsun,American Pale Wheat Ale,12.0,0.062,16.99966411693794,541,Arcadia Brewing Company,Battle Creek,MI
735.0,On-On Ale (2008),American Pale Ale (Apa),12.0,,,513,Arctic Craft Brewery,Colorado Springs,
1333.0,Quakertown Stout,American Double / Imperial Stout,12.0,0.092,50.0,426,Armadillo Ale Works,Denton,TX
1332.0,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.060080620291145,20.0,426,Armadillo Ale Works,Denton,TX
1172.0,Mo's Gose,Gose,16.0,0.052,10.0,461,Armstrong Brewing Company,South San Francisco,CA
1322.0,Green Bullet Organic India Pale Ale,American Ipa,16.0,0.07,45.0,429,Asher Brewing Company,Boulder,
,Rocket Girl,Kölsch,12.0,0.032,27.0,528,,Asheville,NC
429.0,ninja porter,American Porter,12.0,0.053,26.0,528,Asheville Brewing Company,Asheville,NC
428.0,Shiva IPA,American Ipa,12.0,0.06,69.0,528,Asheville Brewing Company,Asheville,NC
1640.0,Aslan Kölsch,Kölsch,16.0,0.048,,353,Aslan Brewing Company,Bellingham,WA
1639.0,Aslan IPA,American Ipa,16.0,0.077,,353,Aslan Brewing Company,Bellingham,WA
1638.0,Aslan Amber,American Amber / Red Ale,16.0,0.077,,353,Aslan Brewing Company,Bellingham,WA
597.0,This Season's Blonde,American Blonde Ale,12.0,0.056,27.020852396381063,523,Aspen Brewing Company,Aspen,CO
596.0,Independence Pass Ale,American Ipa,12.0,0.07,67.0,523,Aspen Brewing Company,Aspen,CO
1580.0,trolley stop stout,American Stout,12.0,0.057,40.0,374,Astoria Brewing Company,Astoria,OR
980.0,Bitter Bitch Imperial IPA,American Double / Imperial Ipa,,0.082,138.0,374,Astoria Brewing Company,Astoria,OR
979.0,Poop Deck Porter,American Porter,12.0,0.062,35.0,374,Astoria Brewing Company,Astoria,OR
,Old Red Beard Amber Ale,American Amber / Red Ale,12.0,0.06,35.0,374,Astoria Brewing Company,Astoria,OR
,Hop A-Peel,American Double / Imperial Ipa,16.0,0.075,115.0,72,Atwater Brewery,Detroit,MI
2502.0,,American Porter,16.0,,12.0,72,Atwater Brewery,Detroit,MI
2495.0,Michelada,Fruit / Vegetable Beer,16.0,0.052,,72,Atwater Brewery,Detroit,MI
534.0,Dirty Blonde Ale,American Blonde Ale,12.0,0.045,8.0,72,Atwater Brewery,Detroit,MI
528.0,Grand Circus IPA,American Ipa,12.0,0.05,62.0,72,Atwater Brewery,,MI
527.0,Atwater's Lager,Munich Helles Lager,12.0,0.05,12.0,72,Atwater Brewery,Detroit,MI
1409.0,Heavy Machinery IPA Series #1: Heavy Fist,American Black Ale,,0.07,,413,aUSTIN bEERWORKS,Austin,TX
343.0,Fire Eagle IPA,American Ipa,12.0,0.062,,413,Austin Beerworks,Austin,TX
,peacemaker,American Pale Ale (Apa),12.0,0.051,,413,Austin Beerworks,Austin,
341.0,Pearl-Snap,German Pilsener,12.0,0.053,,413,Austin Beerworks,Austin,TX
340.0,Black Thunder,Schwarzbier,12.0,0.052,,,Austin Beerworks,Austin,TX
2589.0,Raja,American Double / Imperial Ipa,12.0,0.08,,37,Avery Brewing Company,Boulder,
2546.0,Perzik Saison,Saison / Farmhouse Ale,12.0,0.064,,37,Avery Brewing Company,Boulder,CO
146.0,Avery Joe’s Premium American Pilsner,German Pilsener,12.0,0.047,42.0,37,Avery Brewing Company,Boulder,CO
108.0,White Rascal,Witbier,,0.056,10.0,37,Avery Brewing Company,Boulder,CO
107.0,aVERY iNDIA pALE aLE,,12.0,0.063,69.0,37,Avery Brewing Company,Boulder,CO
106.0,Ellie’s Brown Ale,American Brown Ale,,0.055,17.0,37,Avery Brewing Company,Boulder,CO
1620.0,Pumpkin Beast,Pumpkin Ale,12.0,0.062,17.0,360,Aviator Brewing Company,Fuquay-Varina,NC
1579.0,oktoberbeast,Märzen / Oktoberfest,12.0,0.072,22.0,360,Aviator Brewing Company,Fuquay-Varina,NC
1228.0,Mad Beach,American Pale Wheat Ale,12.0,0.048,23.0,360,Aviator Brewing Company,Fuquay-Varina,NC
,Hog Wild India Pale Ale,American Ipa,12.0,0.067,,360,aviator brewing company,Fuquay-Varina,NC
704.0,Devils Tramping Ground Tripel,Tripel,12.0,0.092,5.0,360,Aviator Brewing Company,Fuquay-Varina,NC
702.0,hot rod red,American Amber / Red Ale,12.0,0.061,41.0,360,Aviator Brewing Company,Fuquay-Varina,NC
2058.0,pALATE mALLET,American Double / Imperial Ipa,12.0,0.086,,235,Back East Brewing Company,Bloomfield,CT
1483.0,Back East Porter,American Porter,12.0,0.06,,235,Back East Brewing Company,Bloomfield,CT
1426.0,Back East Golden Ale,American Blonde Ale,12.0,0.049,,235,Back East Brewing Company,Bloomfield,CT
1132.0,Misty Mountain IPA,American Ipa,12.0,0.07,,235,Back East Brewing Company,Bloomfield,CT
1131.0,Back East Ale,American Amber / Red Ale,12.0,0.05,,235,Back East Brewing Company,Bloomfield,
1876.0,Truck Stop Honey Brown Ale,English Brown Ale,12.010517495135195,0.0691801820400864,,286,Back Forty Beer Company,Gadsden,AL
1875.0,Naked Pig Pale Ale,American Pale Ale (Apa),12.0,0.06,43.0,286,Back Forty Beer Company,,AL
,Topcutter India Pale Ale,American Ipa,12.0,0.0730175907948164,70.0,483,Bale Breaker Brewing Company,Yakima,WA
965.0,Field 41 Pale Ale,American Pale Ale (Apa),12.0,0.044,38.0,483,bALE bREAKER bREWING cOMPANY,Yakima,WA
2593.0,Grapefruit Sculpin,American Ipa,12.0,0.07,,34,ballast point brewing company,San Diego,CA
2105.0,Even Keel,American Ipa,,0.038,40.0,34,Ballast Point Brewing Company,San Diego,CA
1401.0,Ballast Point Pale Ale,Kölsch,12.0,0.0419177436536182,23.0,,ballast point brewing company,,CA
1400.0,,American Ipa,12.0,0.07,75.0,34,,San Diego,
1019.0,Longfin Lager,Munich Helles Lager,12.0,0.043385955499459,,34,Ballast Point Brewing Company,San Diego,CA
1018.0,Sculpin IPA,American Ipa,,,70.0,34,Ballast Point Brewing Company,San Diego,CA
1776.0,All Nighter Ale,Extra Special / Strong Bitter (Esb),12.0,0.045,,318,Banner Beer Company,Williamsburg,MA
1644.0,Banner American Rye,Rye Beer,12.0,0.045,20.0,318,Banner Beer Company,Williamsburg,MA
1643.0,Banner American Ale,American Amber / Red Ale,12.0,0.035,44.966558799804325,318,Banner Beer Company,Williamsburg,MA
2618.0,Thai.p.a,American Ipa,16.0,0.07,46.0,20,Bare Hands Brewery,Granger,IN
2005.0,Barrio Blanco,American Ipa,12.0,0.06,60.0,251,Barrio Brewing Company,Tucson,AZ
1343.0,Barrio Tucson Blonde,American Blonde Ale,12.0,0.045,,251,barrio brewing company,Tucson,AZ
2404.0,Hop in the ‘Pool Helles,American Pilsner,12.0,0.049,22.0,116,Base Camp Brewing Co.,Portland,OR
2323.0,Ultra Gnar Gnar IPA,American Ipa,12.0,0.067,60.0,,Base Camp Brewing Co.,Portland,OR
2189.0,In-Tents India Pale Lager,American Pale Lager,12.0,0.068,62.0,116,Base Camp Brewing Co.,,OR
2188.0,Lost Meridian Wit,Witbier,12.0,0.05,20.0,116,Base Camp Brewing Co.,Portland,OR
2187.0,celestial meridian cascadian dark lager,Euro Dark Lager,12.0,0.051,45.0,116,Base Camp Brewing Co.,Portland,OR
1966.0,Wagon Party,California Common / Steam Beer,12.0,0.054,55.0,258,Bauhaus Brew Labs,Minneapolis,MN
1965.0,Sky-Five,American Ipa,12.0,,70.0,,Bauhaus Brew Labs,Minneapolis,MN
1964.0,,Schwarzbier,12.0,0.05,,258,Bauhaus Brew Labs,Minneapolis,MN
1963.0,Wonderstuff,German Pilsener,12.0,0.054,48.0,258,Bauhaus Brew Labs,Minneapolis,MN
1855.0,tARNATION cALIFORNIA-sTYLE lAGER,California Common / Steam Beer,12.0,0.053,,,Baxter Brewing Company,Lewiston,
1778.0,On the Count of 3 (2015),Hefeweizen,16.0,0.07,42.0,292,Baxter Brewing Company,Lewiston,ME
1209.0,,American Pale Wheat Ale,12.0,0.047,,292,Baxter Brewing Company,Lewiston,ME
954.0,Phantom Punch Winter Stout,Foreign / Export Stout,12.0,0.068,,292,Baxter Brewing Company,Lewiston,ME
910.0,Hayride Autumn Ale,Rye Beer,12.0,0.066,,292,bAXTER bREWING cOMPANY,Lewiston,ME
707.0,Celsius Summer Ale (2012),American Pale Wheat Ale,12.0,0.047,,292,Baxter Brewing Company,Lewiston,ME
533.0,Amber Road,American Amber / Red Ale,12.0,0.055,35.0,292,Baxter Brewing Company,Lewiston,ME
183.0,Pamola Xtra Pale Ale,American Pale Ale (Apa),11.991529937477017,0.049,,292,Baxter Brewing Company,Lewiston,ME
182.0,Stowaway IPA,American Ipa,12.0,0.069,69.0,292,bAXTER bREWING cOMPANY,Lewiston,
1806.0,Hoptopus Double IPA,American Double / Imperial Ipa,16.0,0.088,108.0,306,Beach Brewing Company,Virginia Beach,
2435.0,Watermelon Ale,Fruit / Vegetable Beer,12.0,0.05,10.0,103,Beer Works Brewery,Lowell,MA
2423.0,Fenway American Pale Ale,American Pale Ale (Apa),12.0,0.058,45.0,103,Beer Works Brewery,Lowell,MA
2420.0,Back Bay IPA,American Ipa,12.0,0.068,85.0,103,Beer Works Brewery,Lowell,MA
2419.0,,Other,12.0,0.051750555050683,16.0,,Beer Works Brewery,Lowell,MA
2494.0,Oberon,American Pale Wheat Ale,12.0,0.058,,76,Bell's Brewery,Kalamazoo,MI
2325.0,Smitten,Rye Beer,16.0,0.06,,76,Bell's Brewery,Kalamazoo,MI
2022.0,Winter White,Witbier,16.019455778417342,0.05,,76,Bell's Brewery,Kalamazoo,MI
1989.0,Oberon,American Pale Wheat Ale,16.0,0.058,,,Bell's Brewery,Kalamazoo,MI
1988.0,Two Hearted,American Ipa,16.0,0.07,,,bell's brewery,Kalamazoo,MI
1955.0,Best Brown,,16.0,0.058,,76,Bell's Brewery,Kalamazoo,MI
2558.0,Moar,English India Pale Ale (Ipa),12.0,0.044,43.9821957803419,53,Bent Brewstillery,Roseville,MN
2557.0,Uber Lupin Schwarz IPA,American Double / Imperial Ipa,16.0,0.083,,53,Bent Brewstillery,Roseville,MN
2556.0,,American Blonde Ale,12.0,0.057,27.0,53,Bent Brewstillery,Roseville,MN
,Cold Press,American Black Ale,12.0,0.06,,75,Bent Paddle Brewing Company,Duluth,MN
,hARNESS THE wINTER,American Ipa,12.0,0.072,87.0,75,Bent Paddle Brewing Company,Duluth,MN
1902.0,14° ESB,Extra Special / Strong Bitter (Esb),12.0,0.056,32.0,75,bENT pADDLE bREWING cOMPANY,Duluth,MN
,Bent Hop Golden IPA,American Ipa,12.0,0.062,68.0,75,bent paddle brewing company,Duluth,MN
1261.0,,American Black Ale,12.0,0.0735474816774255,,75,Bent Paddle Brewing Company,Duluth,MN
,Venture Pils,,12.0,0.05,38.0,75,Bent Paddle Brewing Company,Duluth,MN
1900.0,Lost Sailor IPA,English India Pale Ale (Ipa),12.0,0.055,40.0,278,Berkshire Brewing Company,South Deerfield,MA
1317.0,Steel Rail Extra Pale Ale,American Pale Ale (Apa),12.0,0.053,,278,bERKSHIRE bREWING cOMPANY,South Deerfield,MA
1158.0,La Frontera Premium IPA,American Ipa,,0.078,,463,Big Bend Brewing Company,,TX
1157.0,Tejas Lager,Czech Pilsener,12.0,0.047,,463,Big Bend Brewing Company,Alpine,TX
1156.0,Number 22 Porter,American Porter,12.0,0.064,,463,Big Bend Brewing Company,Alpine,TX
1155.0,Big Bend Hefeweizen,Hefeweizen,12.0,0.056,,463,Big Bend Brewing Company,Alpine,TX
1154.0,Terlingua Gold,American Blonde Ale,12.0,0.06,,463,Big Bend Brewing Company,Alpine,TX
2104.0,,American Strong Ale,15.989702734622671,0.081,17.0,220,,Broomfield,CO
1762.0,Hemlock Double IPA,American Double / Imperial Ipa,12.0,0.095,104.0,220,Big Choice Brewing,Broomfield,CO
1422.0,west portal colorado common summer ale,California Common / Steam Beer,16.0,0.0273282557513969,,220,Big Choice Brewing,Broomfield,CO
1067.0,Disconnected Red,American Amber / Red Ale,16.0,0.067,85.0,220,,Broomfield,CO
1003.0,big elm ipa,American Ipa,12.0,0.07,,477,bIG eLM bREWING,Sheffield,MA
1002.0,Gerry Dog Stout,American Stout,12.0,0.065,,477,bIG eLM bREWING,,MA
1001.0,413 Farmhouse Ale,Saison / Farmhouse Ale,12.0,0.065074837013063,,477,Big Elm Brewing,Sheffield,MA
2639.0,Dark Star,American Stout,16.0,0.0847693944831396,54.0,8,Big Lake Brewing,Holland,MI
2469.0,Ryecoe,American Ipa,16.0,0.062,,,Big Lake Brewing,Holland,MI
,Blueberry Blonde,Fruit / Vegetable Beer,12.0,0.06,,40,Big Muddy Brewing,,IL
2585.0,Galaxy IPA,American Ipa,16.0,0.0833424008937532,60.0,40,Big Muddy Brewing,Murphysboro,IL
643.0,Big River Pilsner,Czech Pilsener,,0.05,32.0,519,Big River Brewing Company,Chattanooga,TN
632.0,House Brand IPA,American Ipa,12.0,0.06,55.0,519,Big River Brewing Company,Chattanooga,TN
1714.0,Big Sky IPA,American Ipa,12.0,0.062,65.0,336,Big Sky Brewing Company,Missoula,MT
1713.0,Scape Goat Pale Ale,English Pale Ale,12.0,0.05,40.0,336,Big Sky Brewing Company,Missoula,MT
